IID	group
NA18678	AFR
NA18679	AFR
NA18680	AFR
NA18681	AFR
NA18682	AFR
NA18683	AFR
NA18684	AFR
NA18685	AFR
NA18686	AFR
NA18687	AFR
NA18688	AFR
NA18689	AFR
NA18690	AFR
NA18691	AFR
NA18692	AFR
NA18693	AFR
NA18694	AFR
NA18695	AFR
NA18696	AFR
NA18697	AFR
NA18698	AFR
NA18699	AFR
NA18700	AFR
NA18701	AFR
NA18702	AFR
NA18703	AFR
NA18704	AFR
NA18705	AFR
NA18706	AFR
NA18707	AFR
NA18708	AFR
NA18709	AFR
NA18710	AFR
NA18711	AFR
NA18712	AFR
NA18713	AFR
NA18714	AFR
NA18715	AFR
NA18716	AFR
NA18717	AFR
NA18718	AFR
NA18719	AFR
NA18720	AFR
NA18721	AFR
NA18722	AFR
NA18723	AFR
NA18724	AFR
NA18725	AFR
NA18726	AFR
NA18727	AFR
NA18728	AFR
NA18729	AFR
NA18730	AFR
NA18731	AFR
NA18732	AFR
NA18733	AFR
NA18734	AFR
NA18735	AFR
NA18736	AFR
NA18737	AFR
NA18738	AFR
NA18739	AFR
NA18740	AFR
NA18741	AFR
NA18742	AFR
NA18743	AFR
NA18744	AFR
NA18745	AFR
NA18746	AFR
NA18747	AFR
NA18748	AFR
NA18749	AFR
NA18750	AFR
NA18751	AFR
NA18752	AFR
NA18753	AFR
NA18754	AFR
NA18755	AFR
NA18756	AFR
NA18757	AFR
NA18758	AFR
NA18759	AFR
NA18760	AFR
NA18761	AFR
NA18762	AFR
NA18763	AFR
NA18764	AFR
NA18765	AFR
NA18766	AFR
NA18767	AFR
NA18768	AFR
NA18769	AFR
NA18770	AFR
NA18771	AFR
NA18772	AFR
NA18773	AFR
NA18774	AFR
NA18775	AFR
NA18776	AFR
NA18777	AFR
NA18778	AFR
NA18779	AFR
NA18780	AFR
NA18781	AFR
NA18782	AFR
NA18783	AFR
NA18784	AFR
NA18785	AFR
NA18786	AFR
NA18787	AFR
NA18788	AFR
NA18789	AFR
NA18790	AFR
NA18791	AFR
NA18792	AFR
NA18793	AFR
NA18794	AFR
NA18795	AFR
NA18796	AFR
NA18797	AFR
NA18798	AFR
NA18799	AFR
NA18800	AFR
NA18801	AFR
NA18802	AFR
NA18803	AFR
NA18804	AFR
NA18806	AFR
NA18807	AFR
NA18808	AFR
NA18809	AFR
NA18810	AFR
NA18811	AFR
NA18812	AFR
NA18813	AFR
NA18814	AFR
NA18815	AFR
NA18816	AFR
NA18817	AFR
NA18818	AFR
NA18819	AFR
NA18820	AFR
NA18821	AFR
NA18822	AFR
NA18823	AFR
NA18824	AFR
NA18825	AFR
NA18826	AFR
NA18827	AFR
NA18828	AFR
NA18829	AFR
NA18830	AFR
NA18831	AFR
NA18832	AFR
NA18833	AFR
NA18834	AFR
NA18835	AFR
NA18836	AFR
NA18837	AFR
NA18838	AFR
NA18839	AFR
NA18840	AFR
NA18841	AFR
NA18842	AFR
NA18843	AFR
NA18844	AFR
NA18845	AFR
NA18846	AFR
NA18847	AFR
NA18848	AFR
NA18849	AFR
NA18852	AFR
NA18853	AFR
NA18854	AFR
NA18855	AFR
NA18856	AFR
NA18857	AFR
NA18858	AFR
NA18859	AFR
NA18860	AFR
NA18861	AFR
NA18862	AFR
NA18863	AFR
NA18865	AFR
NA18866	AFR
NA18867	AFR
NA18868	AFR
NA18869	AFR
NA18870	AFR
NA18871	AFR
NA18872	AFR
NA18873	AFR
NA18874	AFR
NA18875	AFR
NA18876	AFR
NA18877	AFR
NA18878	AFR
NA18879	AFR
NA18880	AFR
NA18881	AFR
NA18882	AFR
NA18883	AFR
NA18884	AFR
NA18885	AFR
NA18886	AFR
NA18887	AFR
NA18888	AFR
NA18889	AFR
NA18890	AFR
NA18891	AFR
NA18892	AFR
NA18893	AFR
NA18894	AFR
NA18895	AFR
NA18896	AFR
NA18897	AFR
NA18898	AFR
NA18899	AFR
NA18900	AFR
NA18901	AFR
NA18902	AFR
NA18903	AFR
NA18904	AFR
NA18905	AFR
NA18906	AFR
NA18907	AFR
NA18908	AFR
NA18909	AFR
NA18910	AFR
NA18911	AFR
NA18912	AFR
NA18913	AFR
NA18914	AFR
NA18915	AFR
NA18916	AFR
NA18917	AFR
NA18918	AFR
NA18919	AFR
NA18920	AFR
NA18921	AFR
NA18922	AFR
NA18923	AFR
NA18924	AFR
NA18925	AFR
NA18926	AFR
NA18927	AFR
NA18928	AFR
NA18929	AFR
NA18930	AFR
NA18931	AFR
NA18932	AFR
NA18933	AFR
NA18934	AFR
NA18935	AFR
NA18936	AFR
NA18937	AFR
NA18938	AFR
NA18939	AFR
NA18940	AFR
NA18941	AFR
NA18942	AFR
NA18943	AFR
NA18944	AFR
NA18945	AFR
NA18946	AFR
NA18947	AFR
NA18948	AFR
NA18949	AFR
NA18950	AFR
NA18951	AFR
NA18952	AFR
NA18953	AFR
NA18954	AFR
NA18955	AFR
NA18956	AFR
NA18957	AFR
NA18958	AFR
NA18959	AFR
NA18960	AFR
NA18961	AFR
NA18962	AFR
NA18963	AFR
NA18964	AFR
NA18965	AFR
NA18966	AFR
NA18967	AFR
NA18968	AFR
NA18969	AFR
NA18970	AFR
NA18971	AFR
NA18972	AFR
NA18973	AFR
NA18974	AFR
NA18975	AFR
NA18976	AFR
NA18977	AFR
NA18978	AFR
NA18979	AFR
NA18980	AFR
NA18981	AFR
NA18982	AFR
NA18983	AFR
NA18984	AFR
NA18985	AFR
NA18986	AFR
NA18987	AFR
NA18988	AFR
NA18989	AFR
NA18990	AFR
NA18991	AFR
NA18992	AFR
NA18994	AFR
NA18995	AFR
NA18997	AFR
NA18999	AFR
HG00403	EAS
HG00404	EAS
HG00405	EAS
HG00406	EAS
HG00407	EAS
HG00408	EAS
HG00409	EAS
HG00410	EAS
HG00411	EAS
HG00412	EAS
HG00413	EAS
HG00414	EAS
HG00415	EAS
HG00418	EAS
HG00419	EAS
HG00420	EAS
HG00421	EAS
HG00422	EAS
HG00423	EAS
HG00424	EAS
HG00425	EAS
HG00426	EAS
HG00427	EAS
HG00428	EAS
HG00429	EAS
HG00430	EAS
HG00431	EAS
HG00432	EAS
HG00433	EAS
HG00436	EAS
HG00437	EAS
HG00438	EAS
HG00439	EAS
HG00440	EAS
HG00441	EAS
HG00442	EAS
HG00443	EAS
HG00444	EAS
HG00445	EAS
HG00446	EAS
HG00447	EAS
HG00448	EAS
HG00449	EAS
HG00450	EAS
HG00451	EAS
HG00452	EAS
HG00453	EAS
HG00454	EAS
HG00455	EAS
HG00456	EAS
HG00457	EAS
HG00458	EAS
HG00459	EAS
HG00460	EAS
HG00461	EAS
HG00463	EAS
HG00464	EAS
HG00465	EAS
HG00466	EAS
HG00467	EAS
HG00468	EAS
HG00469	EAS
HG00470	EAS
HG00471	EAS
HG00472	EAS
HG00473	EAS
HG00474	EAS
HG00475	EAS
HG00476	EAS
HG00477	EAS
HG00478	EAS
HG00479	EAS
HG00480	EAS
HG00481	EAS
HG00482	EAS
HG00483	EAS
HG00484	EAS
HG00485	EAS
HG00486	EAS
HG00487	EAS
HG00488	EAS
HG00489	EAS
HG00490	EAS
HG00491	EAS
HG00492	EAS
HG00493	EAS
HG00494	EAS
HG00495	EAS
HG00496	EAS
HG00497	EAS
HG00498	EAS
HG00499	EAS
HG00500	EAS
HG00501	EAS
HG00502	EAS
HG00503	EAS
HG00504	EAS
HG00505	EAS
HG00506	EAS
HG00507	EAS
HG00508	EAS
HG00509	EAS
HG00510	EAS
HG00511	EAS
HG00512	EAS
HG00513	EAS
HG00514	EAS
HG00516	EAS
HG00524	EAS
HG00525	EAS
HG00526	EAS
HG00527	EAS
HG00528	EAS
HG00530	EAS
HG00531	EAS
HG00533	EAS
HG00534	EAS
HG00536	EAS
HG00537	EAS
HG00538	EAS
HG00539	EAS
HG00540	EAS
HG00541	EAS
HG00542	EAS
HG00543	EAS
HG00544	EAS
HG00545	EAS
HG00546	EAS
HG00547	EAS
HG00549	EAS
HG00551	EAS
HG00553	EAS
HG00554	EAS
HG00556	EAS
HG00557	EAS
HG00558	EAS
HG00559	EAS
HG00560	EAS
HG00561	EAS
HG00562	EAS
HG00563	EAS
HG00564	EAS
HG00565	EAS
HG00566	EAS
HG00567	EAS
HG00568	EAS
HG00569	EAS
HG00570	EAS
HG00571	EAS
HG00572	EAS
HG00573	EAS
HG00574	EAS
HG00575	EAS
HG00577	EAS
HG00578	EAS
HG00580	EAS
HG00581	EAS
HG00583	EAS
HG00584	EAS
HG00585	EAS
HG00587	EAS
HG00589	EAS
HG00590	EAS
HG00592	EAS
HG00593	EAS
HG00595	EAS
HG00596	EAS
HG00598	EAS
HG00599	EAS
HG00601	EAS
HG00602	EAS
HG00604	EAS
HG00605	EAS
HG00607	EAS
HG00608	EAS
HG00610	EAS
HG00611	EAS
HG00613	EAS
HG00614	EAS
HG00616	EAS
HG00617	EAS
HG00619	EAS
HG00620	EAS
HG00622	EAS
HG00623	EAS
HG00625	EAS
HG00626	EAS
HG00628	EAS
HG00629	EAS
HG00630	EAS
HG00631	EAS
HG00632	EAS
HG00633	EAS
HG00634	EAS
HG00635	EAS
HG00637	EAS
HG00638	EAS
HG00640	EAS
HG00641	EAS
HG00642	EAS
HG00643	EAS
HG00644	EAS
HG00645	EAS
HG00646	EAS
HG00648	EAS
HG00649	EAS
HG00650	EAS
HG00651	EAS
HG00653	EAS
HG00654	EAS
HG00656	EAS
HG00657	EAS
HG00659	EAS
HG00660	EAS
HG00662	EAS
HG00663	EAS
HG00665	EAS
HG00666	EAS
HG00667	EAS
HG00668	EAS
HG00669	EAS
HG00671	EAS
HG00672	EAS
HG00674	EAS
HG00675	EAS
HG00676	EAS
HG00677	EAS
HG00678	EAS
HG00679	EAS
HG00680	EAS
HG00681	EAS
HG00682	EAS
HG00683	EAS
HG00684	EAS
HG00685	EAS
HG00686	EAS
HG00689	EAS
HG00690	EAS
HG00692	EAS
HG00693	EAS
HG00694	EAS
HG00695	EAS
HG00696	EAS
HG00697	EAS
HG00699	EAS
HG00700	EAS
HG00702	EAS
HG00703	EAS
HG00704	EAS
HG00705	EAS
HG00706	EAS
HG00707	EAS
HG00708	EAS
HG00709	EAS
HG00731	EAS
HG00732	EAS
HG00733	EAS
HG00734	EAS
HG00736	EAS
HG00737	EAS
HG00739	EAS
HG00740	EAS
HG00742	EAS
HG00743	EAS
HG00745	EAS
HG00746	EAS
HG00747	EAS
HG00748	EAS
HG00749	EAS
HG00750	EAS
HG00752	EAS
HG00753	EAS
HG00754	EAS
HG00755	EAS
HG00756	EAS
HG00757	EAS
HG00759	EAS
HG00760	EAS
HG00762	EAS
HG00763	EAS
HG00764	EAS
HG00765	EAS
HG00766	EAS
HG00767	EAS
HG00768	EAS
HG00769	EAS
HG00770	EAS
HG00771	EAS
HG00772	EAS
HG00773	EAS
HG00774	EAS
HG00775	EAS
HG00776	EAS
HG00777	EAS
HG00778	EAS
HG00779	EAS
HG00780	EAS
HG00781	EAS
HG00782	EAS
HG00783	EAS
HG00784	EAS
HG00785	EAS
HG00786	EAS
HG00787	EAS
HG00788	EAS
HG00789	EAS
HG00790	EAS
HG00791	EAS
HG00792	EAS
HG00793	EAS
HG00794	EAS
HG00795	EAS
HG00796	EAS
HG00797	EAS
HG00799	EAS
HG00800	EAS
HG00802	EAS
HG00803	EAS
HG00804	EAS
HG00805	EAS
HG00806	EAS
HG00807	EAS
HG00808	EAS
HG00809	EAS
HG00810	EAS
HG00811	EAS
HG00812	EAS
HG00813	EAS
HG00814	EAS
HG00815	EAS
HG00816	EAS
HG00817	EAS
HG00818	EAS
HG00819	EAS
HG00820	EAS
HG00821	EAS
HG00822	EAS
HG00823	EAS
HG00824	EAS
HG00825	EAS
HG00826	EAS
HG00827	EAS
HG00828	EAS
HG00829	EAS
HG00830	EAS
HG00831	EAS
HG00832	EAS
HG00833	EAS
HG00834	EAS
HG00835	EAS
HG00836	EAS
HG00837	EAS
HG00838	EAS
HG00839	EAS
HG00840	EAS
HG00841	EAS
HG00842	EAS
HG00843	EAS
HG00844	EAS
HG00845	EAS
HG00846	EAS
HG00847	EAS
HG00848	EAS
HG00849	EAS
HG00850	EAS
HG00851	EAS
HG00852	EAS
HG00853	EAS
HG00854	EAS
HG00855	EAS
HG00856	EAS
HG00857	EAS
HG00858	EAS
HG00859	EAS
HG00860	EAS
HG00861	EAS
HG00862	EAS
HG00863	EAS
HG00864	EAS
HG00865	EAS
HG00866	EAS
HG00867	EAS
HG00868	EAS
HG00869	EAS
HG00870	EAS
HG00871	EAS
HG00872	EAS
HG00873	EAS
HG00874	EAS
HG00875	EAS
HG00876	EAS
HG00877	EAS
HG00878	EAS
HG00879	EAS
HG00880	EAS
HG00881	EAS
HG00882	EAS
HG00883	EAS
HG00884	EAS
HG00885	EAS
HG00886	EAS
HG00887	EAS
HG00888	EAS
HG00889	EAS
HG00890	EAS
HG00891	EAS
HG00892	EAS
HG00893	EAS
HG00894	EAS
HG00895	EAS
HG00896	EAS
HG00897	EAS
HG00898	EAS
HG00899	EAS
HG00900	EAS
HG00901	EAS
HG00902	EAS
HG00903	EAS
HG00904	EAS
HG00905	EAS
HG00906	EAS
HG00907	EAS
HG00908	EAS
HG00909	EAS
HG00910	EAS
HG00911	EAS
HG00912	EAS
HG00913	EAS
HG00914	EAS
HG00915	EAS
HG00916	EAS
HG00917	EAS
HG00918	EAS
HG00919	EAS
HG00920	EAS
HG00921	EAS
HG00922	EAS
HG00923	EAS
HG00924	EAS
HG00925	EAS
HG00926	EAS
HG00927	EAS
HG00928	EAS
HG00929	EAS
HG00930	EAS
HG00931	EAS
HG00932	EAS
HG00933	EAS
HG00934	EAS
HG00935	EAS
HG00936	EAS
HG00937	EAS
HG00938	EAS
HG00939	EAS
HG00940	EAS
HG00941	EAS
HG00942	EAS
HG00943	EAS
HG00944	EAS
HG00945	EAS
HG00946	EAS
HG00947	EAS
HG00948	EAS
HG00949	EAS
HG00950	EAS
HG00951	EAS
HG00952	EAS
HG00953	EAS
HG00954	EAS
HG00955	EAS
HG00956	EAS
HG00957	EAS
HG00958	EAS
HG00959	EAS
HG00960	EAS
HG00961	EAS
HG00962	EAS
HG00963	EAS
HG00964	EAS
HG00965	EAS
HG00966	EAS
HG00967	EAS
HG00968	EAS
HG00969	EAS
HG00970	EAS
HG00971	EAS
HG00972	EAS
HG00973	EAS
HG00974	EAS
HG00975	EAS
HG00976	EAS
HG00977	EAS
HG00978	EAS
HG00979	EAS
HG00980	EAS
HG00981	EAS
HG00982	EAS
HG00983	EAS
HG00984	EAS
HG00985	EAS
HG00986	EAS
HG00987	EAS
HG00988	EAS
HG00989	EAS
